,id,title,rmse,count,cause
285,4004021,강북멋쟁이,12.74,16,
286,3379391,Shampoo,12.72,14,
287,9620471,You(=I),12.69,47,
288,30244931,봄날,12.66,89,
289,30495638,아침에 (Feat. Bryn),12.65,15,
290,8271355,"And July (Feat. DEAN, DJ Friz)",12.64,33,
291,3561276,내가 이렇지 (Feat. 하동균),12.62,14,
292,30725481,Nothing Without You (Intro.),12.62,11,
293,3837683,Loving U (러빙유),12.61,23,
294,8217163,Lucky One,12.58,38,
295,3859894,Only One,12.57,15,
296,30543235,있다면,12.55,28,
297,31085245,So What,12.54,15,
298,30690674,눈 떠보니 이별이더라,12.53,40,
299,4383833,바람이 불었으면 좋겠어,12.5,66,
300,8155478,심술,12.44,49,
301,7899303,냉탕에 상어 (Feat. 블랙넛),12.43,17,
302,30725483,갖고 싶어,12.43,17,
303,3457172,Roly-Poly,12.42,23,
304,31085243,Airplane pt.2,12.37,24,
305,30294022,나야 나 (PICK ME),12.35,20,
306,3145650,너 말이야,12.3,12,
307,3065251,집에 가지마,12.26,14,
308,3138749,내꺼중에 최고,12.23,16,
309,3534943,회상 (Feat. 백지영),12.19,14,
310,3736176,곰인형 (Feat. 해금),12.17,16,
311,7935396,HOT PINK,12.13,22,
312,3349210,거울아 거울아,12.09,15,
313,7863752,커피 (Prod. by G-Park 박명수),12.09,13,
314,3811406,잘자요 굿나잇,12.04,16,
315,4586092,너 사용법,12.04,40,
316,30512671,빨간 맛 (Red Flavor),12.02,65,
317,3672259,뉴스 (News),11.97,11,
318,3170749,Officially Missing You,11.96,42,
319,3709444,WHOZ THAT GIRL,11.95,12,
320,4433490,썸 (Feat. 릴보이 Of 긱스),11.93,69,
321,2994360,Hello!,11.9,12,
322,4369827,금요일에 만나요 (Feat. 장이정 Of HISTORY),11.87,97,
323,3550136,난 좋아,11.86,11,
324,30605241,베베 (BABE),11.85,17,
325,3666573,애상,11.84,20,
326,5674470,연예할래,11.78,17,
327,5462666,지워 (Feat. 아이언),11.77,20,
328,31085242,Magic Shop,11.73,18,
329,3527235,"TV를 껐네... (Feat. t윤미래, 권정열 Of 10cm)",11.7,17,
330,7956303,나팔바지,11.69,19,
331,4438401,So Wonderful,11.67,13,
332,3538775,좋아보여 (Feat. 검정치마),11.63,34,
333,4840271,위아래,11.62,39,
334,5495681,Angel,11.62,22,
335,8233291,니가 알던 내가 아냐 (Prod. By GRAY),11.6,20,
336,5811228,moneyflow (다 비켜봐),11.53,12,
337,30712793,박수,11.53,12,
338,4806686,공허해,11.52,37,
339,3557196,Sixth Sense,11.51,16,
340,5634219,Puss (Prod.by 라이머),11.51,25,
341,3685853,이럴 줄 알았어,11.48,14,
342,4262252,Very Good,11.48,12,
343,30079094,기도 (I`ll Be Your Man),11.48,14,
344,3840800,DAY BY DAY,11.38,16,
345,30736437,피카부 (Peek-A-Boo),11.38,26,
346,30566061,N분의1 (Feat. 다이나믹듀오),11.37,19,
347,30661885,WHERE YOU AT,11.37,23,
348,4671151,"눈, 코, 입",11.33,44,
349,3089348,왜 (Keep Your Head Down),11.29,13,
350,7956304,DADDY (Feat. CL of 2NE1),11.27,21,
351,3136472,사랑은 은하수 다방에서,11.26,18,
352,4099280,이름이 뭐예요?,11.26,22,
353,7926003,LIGHTSABER,11.25,11,
354,5826461,레옹,11.24,23,
355,4402769,내 생각날 거야 (Narr. 이시영),11.23,12,
356,5743804,음오아예 (Um Oh Ah Yeh),11.22,33,
357,30536155,DINOSAUR,11.22,17,
358,31085240,낙원,11.22,15,
359,4011608,I`m Sorry,11.17,15,
360,4033065,Tell Me Tell Me,11.17,15,
361,8275728,바다,11.17,13,
362,3681993,널 사랑하겠어,11.11,16,
363,5442688,내가 그리웠니 (Feat. 진실 Of Mad Soul Child),11.11,23,
364,3389324,미인,11.1,11,
365,2903041,결혼까지 생각했어,11.08,18,
366,30669593,가을 안부,11.08,54,
367,3448185,Hands Up,11.07,17,
368,2793050,아메리카노,11.06,15,
369,3853074,한 여름 밤의 꿈,11.05,12,
370,7861392,또 다시 사랑,11.04,67,
371,8203900,너였다면,11.04,48,
372,3509748,"Grand Final (Feat. 정인, MC 날유)",11.03,12,
373,30341745,REALLY REALLY,11.03,70,
374,5387875,설렘주의,11.02,11,
375,4192787,아는사람 얘기,11.01,24,
376,4129672,짧은머리,10.99,22,
377,31062863,열애중,10.99,24,
378,3337651,이태원 프리덤 (With JYP),10.98,13,
379,4076109,외국인의 고백,10.98,14,
380,5794982,"RESPECT (Feat. 로꼬, GRAY & DJ Pumkin)",10.98,13,
381,4271833,넘버나인 (No.9),10.96,15,
382,3468048,Bubble Pop!,10.95,16,
383,8077712,봄인가 봐 (Spring Love),10.95,17,
384,8236055,I Like That,10.95,19,
385,30367190,바래다줄게 (Take You Home),10.93,11,
386,3975504,하얀 설레임 (White Love),10.92,11,
387,4184826,첫 사랑니 (Rum Pum Pum Pum),10.9,14,
388,5442687,내 생애 가장 행복한 시간 (Feat. 허각),10.9,33,
389,3472249,한번만 안아줘,10.87,13,
390,3589429,친구잖아,10.87,17,
391,3600224,Girls Girls,10.85,12,
392,30699142,지나오다,10.84,31,
393,3759927,사랑은 다 그런거래요,10.81,13,
394,3843986,방구석 날라리,10.8,11,
395,30157820,For Life,10.8,14,
396,31085241,Love Maze,10.79,15,
397,3620493,안아줘,10.78,46,
398,8033528,어디에도,10.71,115,
399,3118780,하루하루,10.7,15,
400,3853977,뜨거운 안녕 (Feat. 성시경),10.68,20,
401,31085239,134340,10.68,15,
402,3339283,Heart To Heart,10.67,15,
403,4171462,U & I,10.67,22,
404,3411459,Hello Hello,10.65,13,
405,3986186,반창꼬,10.64,17,
406,5533607,데자-부 (Deja-Boo) (Feat. Zion.T),10.64,11,
407,4099386,유리 심장 (Feat. 용준형 Of 비스트),10.61,13,
408,4400561,짧은 치마 (Miniskirt),10.61,37,
409,30989550,바코드 (Prod. GroovyRoom),10.61,19,
410,30179088,쏘아,10.59,12,
411,3853978,강남스타일,10.58,25,
412,3886294,Pandora,10.57,13,
413,8104514,그녀가 곁에 없다면 (결혼 행진곡을 활용한 신곡),10.57,12,
414,3526967,안아줘요,10.56,11,
